propertyUrl,displayAddress,price.amount,addedOrReduced,bedrooms,propertySubType,addedOrReducedDate
https://www.rightmove.co.uk/properties/153827387#/?channel=RES_BUY,"White Star Place, Southampton, Hampshire, SO14",145000,Added,1,Flat,16/10/2024
https://www.rightmove.co.uk/properties/154530572#/?channel=RES_BUY,"Carlisle Road, Southampton",140000,Added yesterday,1,Ground Flat,
https://www.rightmove.co.uk/properties/154517636#/?channel=RES_BUY,"Millbrook Road West, Southampton, Hampshire, SO15",140000,Added yesterday,2,Flat,
https://www.rightmove.co.uk/properties/144590879#/?channel=RES_BUY,"White Star Place, Southampton, Hampshire, SO14",140000,Added,2,Flat,01/11/2024
https://www.rightmove.co.uk/properties/154492700#/?channel=RES_BUY,"Duddon Close, West End, SO18",140000,Added,1,Flat,01/11/2024
https://www.rightmove.co.uk/properties/154492331#/?channel=RES_BUY,"Bevois Valley Road, SOUTHAMPTON, Hampshire, SO14",140000,Added,1,Flat,01/11/2024
https://www.rightmove.co.uk/properties/152636933#/?channel=RES_BUY,"West End Road, Bitterne, SO18",140000,Reduced,1,Flat,01/11/2024
https://www.rightmove.co.uk/properties/154457801#/?channel=RES_BUY,"Wessex court, Southampton, SO19",140000,Added,1,Flat,31/10/2024
https://www.rightmove.co.uk/properties/150509864#/?channel=RES_BUY,"Bassett Avenue, Bassett, Southampton, Hampshire, SO16",135000,Reduced,2,Flat,31/10/2024
https://www.rightmove.co.uk/properties/154440728#/?channel=RES_BUY,"Wide Lane, Southampton, Hampshire, SO18",145000,Added,2,Flat,31/10/2024
https://www.rightmove.co.uk/properties/151061408#/?channel=RES_BUY,"Cobbett Road, Southampton",150000,Reduced,2,Flat,31/10/2024
https://www.rightmove.co.uk/properties/154429388#/?channel=RES_BUY,"Thornhill Park Road, Southampton, Hampshire, SO18",95000,Added,1,Flat,31/10/2024
https://www.rightmove.co.uk/properties/154423595#/?channel=RES_BUY,"Spring Road, Southampton",140000,Added,1,Apartment,31/10/2024
https://www.rightmove.co.uk/properties/154420946#/?channel=RES_BUY,"Smythe Road, Sholing, Southampton, Hampshire, SO19",140000,Added,3,Semi-Detached,31/10/2024
https://www.rightmove.co.uk/properties/153075470#/?channel=RES_BUY,"River View Road, Southampton, Hampshire, SO18",90000,Reduced,1,Flat,31/10/2024
https://www.rightmove.co.uk/properties/154367795#/?channel=RES_BUY,"Stannington Crescent, Totton, SOUTHAMPTON",95000,Added,1,Apartment,30/10/2024
https://www.rightmove.co.uk/properties/151543490#/?channel=RES_BUY,"Wavell Road, Southampton, Hampshire, SO18",77000,Reduced,1,Flat,29/10/2024
https://www.rightmove.co.uk/properties/150348122#/?channel=RES_BUY,"Homepoint House, Southampton, SO18 6TX",65000,Reduced,1,Retirement Property,29/10/2024
https://www.rightmove.co.uk/properties/153444014#/?channel=RES_BUY,Shirley,140000,Reduced,1,Flat,29/10/2024
https://www.rightmove.co.uk/properties/154397978#/?channel=RES_BUY,"Millbrook Road East, Shirley, Southampton, Hampshire, SO15",125000,Added,1,Flat,29/10/2024
https://www.rightmove.co.uk/properties/154298477#/?channel=RES_BUY,"Windsor Crescent, Bursledon, Hampshire",55625,Added,2,Apartment,28/10/2024
https://www.rightmove.co.uk/properties/154298372#/?channel=RES_BUY,"James Street, Southampton, Hampshire",120000,Added,1,Apartment,28/10/2024
https://www.rightmove.co.uk/properties/154289363#/?channel=RES_BUY,"Spring Road, Southampton, Hampshire, SO19",140000,Added,1,Flat,28/10/2024
https://www.rightmove.co.uk/properties/86996079#/?channel=RES_BUY,"Bitterne Road West, Southampton",135000,Reduced,1,Flat,28/10/2024
https://www.rightmove.co.uk/properties/153447875#/?channel=RES_BUY,"Wellow Close, Harefield, SO18",139950,Reduced,2,Flat,28/10/2024
https://www.rightmove.co.uk/properties/152787398#/?channel=RES_BUY,"Twyford Road, Eastleigh, SO50",150000,Reduced,1,Apartment,31/10/2024
https://www.rightmove.co.uk/properties/154482503#/?channel=RES_BUY,"Nutbeem Road, Eastleigh",126950,Added,1,Apartment,01/11/2024
https://www.rightmove.co.uk/properties/154446116#/?channel=RES_BUY,"Catherine Court, Sopwith Road, Eastleigh",130000,Added,1,Apartment,31/10/2024
https://www.rightmove.co.uk/properties/152787398#/?channel=RES_BUY,"Twyford Road, Eastleigh, SO50",150000,Reduced,1,Apartment,31/10/2024
https://www.rightmove.co.uk/properties/141961964#/?channel=RES_BUY,"Cranbury Road, Eastleigh",140000,Reduced,2,Flat,31/10/2024
https://www.rightmove.co.uk/properties/145123877#/?channel=RES_BUY,"Catherine Court, Sopwith Road, Eastleigh, SO50 5LN",139950,Reduced,1,Apartment,30/10/2024
https://www.rightmove.co.uk/properties/153020519#/?channel=RES_BUY,"Chamberlayne Road, Eastleigh, Hampshire, SO50",140000,Reduced,2,Flat,29/10/2024
https://www.rightmove.co.uk/properties/87045537#/?channel=RES_BUY,"Chamberlayne Road, Eastleigh, Hampshire, SO50 5TH",140000,Reduced,2,Flat,29/10/2024
https://www.rightmove.co.uk/properties/138388220#/?channel=RES_BUY,"Sopwith Road, Eastleigh",90000,Reduced,1,Retirement Property,29/10/2024
https://www.rightmove.co.uk/properties/147692072#/?channel=RES_BUY,"Southampton Road, Eastleigh",145000,Reduced,1,Flat,28/10/2024
https://www.rightmove.co.uk/properties/153219848#/?channel=RES_BUY,"Campbell Way, Fair Oak, Eastleigh",110000,Reduced,1,Ground Flat,25/10/2024
https://www.rightmove.co.uk/properties/154178684#/?channel=RES_BUY,"Alexander Square, Eastleigh",150000,Added,1,Flat,24/10/2024
https://www.rightmove.co.uk/properties/154019765#/?channel=RES_BUY,"Catherine Court, Sopwith Road, Eastleigh, SO50 5LN",139995,Added,1,Apartment,21/10/2024
https://www.rightmove.co.uk/properties/145829351#/?channel=RES_BUY,"Crestwood View, Boyatt Wood, Hampshire, SO50",140000,Reduced,1,Flat,18/10/2024
https://www.rightmove.co.uk/properties/141919013#/?channel=RES_BUY,"Winchester Road, Chandlers Ford, Eastleigh, Hampshire, SO53",125000,Reduced,1,Apartment,18/10/2024
https://www.rightmove.co.uk/properties/153724760#/?channel=RES_BUY,"Sopwith Road, Eastleigh, Hampshire, SO50",130000,Added,1,Retirement Property,14/10/2024
https://www.rightmove.co.uk/properties/153443051#/?channel=RES_BUY,"Mortimers Lane, Fair Oak",150000,Added,2,Retirement Property,07/10/2024
https://www.rightmove.co.uk/properties/153442817#/?channel=RES_BUY,"Winchester Road, Fair Oak, Eastleigh",110000,Added,2,Park Home,07/10/2024
https://www.rightmove.co.uk/properties/153442808#/?channel=RES_BUY,"Stevens Road, EASTLEIGH",112500,Added,2,Flat,01/10/2024
https://www.rightmove.co.uk/properties/153173396#/?channel=RES_BUY,"Alexander Square, Eastleigh",150000,Added,1,Flat,30/09/2024
https://www.rightmove.co.uk/properties/151982165#/?channel=RES_BUY,"Alexander Square, Eastleigh, Hampshire, SO50",145000,Reduced,2,Apartment,26/09/2024
https://www.rightmove.co.uk/properties/144714131#/?channel=RES_BUY,"Charlotte Lodge, Eastleigh",150000,Reduced,1,Retirement Property,24/09/2024
https://www.rightmove.co.uk/properties/152377874#/?channel=RES_BUY,"Nutbeem Road, Eastleigh, SO50",130000,Added,1,Apartment,16/09/2024
https://www.rightmove.co.uk/properties/149321984#/?channel=RES_BUY,"Leigh Road, Eastleigh, Hampshire, SO50",130000,Reduced,1,Flat,13/09/2024
https://www.rightmove.co.uk/properties/150890948#/?channel=RES_BUY,"Baddesley Road, North Baddesley, Southampton",140000,Reduced,2,Detached Bungalow,06/09/2024
